"Gender","Nationality","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","ParentAnswerSurvey","ParentSchoolSatisfy","StudentAbsentDays","Class","RaisedHands","VisitedResources","ViewAnnouncements","Discussion"
"1","female","Jordan","Kuwait","MiddleSchool","G-08","C","Spanish","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",87,88,40,10
"2","male","Morocco","Morocco","MiddleSchool","G-08","B","Arabic","Semester-2","Father","No","Bad","Above-7","LowLevel",27,15,42,53
"3","female","USA","USA","MiddleSchool","G-07","A","Math","Semester-1","Father","No","Good","Under-7","MiddleLevel",27,22,22,40
"4","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-2","Father","No","Bad","Under-7","MiddleLevel",55,74,25,29
"5","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Under-7","MiddleLevel",6,2,38,12
"6","male","Lebanon","Lebanon","MiddleSchool","G-08","A","Math","Semester-1","Father","No","Bad","Above-7","LowLevel",20,14,12,19
"7","female","Kuwait","Kuwait","MiddleSchool","G-06","A","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",30,40,22,66
"8","male","Kuwait","Kuwait","PrimarySchool","G-04","A","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",30,25,5,35
"9","female","Jordan","Jordan","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",42,24,12,24
"10","female","Jordan","Jordan","MiddleSchool","G-07","A","Quran","Semester-2","Father","No","Bad","Under-7","MiddleLevel",60,55,30,40
"11","male","Kuwait","Kuwait","MiddleSchool","G-07","A","Math","Semester-1","Father","Yes","Good","Above-7","LowLevel",16,14,6,20
"12","male","Kuwait","Kuwait","PrimarySchool","G-02","C","IT","Semester-1","Father","No","Bad","Under-7","MiddleLevel",60,60,3,60
"13","male","Tunis","Tunis","MiddleSchool","G-07","A","Quran","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",10,75,55,11
"14","female","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","Semester-1","Father","Yes","Good","Under-7","HighLevel",15,97,22,10
"15","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-1","Father","No","Bad","Under-7","MiddleLevel",50,77,14,28
"16","male","SaudiArabia","SaudiArabia","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","HighLevel",70,12,40,50
"17","male","Jordan","Jordan","PrimarySchool","G-02","B","Arabic","Semester-1","Father","No","Bad","Above-7","LowLevel",10,10,40,51
"18","female","Kuwait","Kuwait","HighSchool","G-09","A","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",30,35,28,90
"19","male","Jordan","Jordan","PrimarySchool","G-02","A","Arabic","Semester-2","Father","Yes","Good","Above-7","MiddleLevel",10,58,51,48
"20","female","Jordan","Jordan","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",42,24,12,24
"21","male","SaudiArabia","SaudiArabia","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","HighLevel",70,12,40,50
"22","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Good","Above-7","LowLevel",12,30,0,17
"23","male","Tunis","Tunis","MiddleSchool","G-07","A","Quran","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",10,75,55,11
"24","male","Kuwait","Kuwait","MiddleSchool","G-07","B","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",36,30,20,80
"25","female","Jordan","Jordan","PrimarySchool","G-02","B","French","Semester-2","Father","Yes","Bad","Above-7","MiddleLevel",50,62,73,43
"26","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Under-7","LowLevel",3,12,4,33
"27","female","Jordan","Jordan","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",42,24,12,24
"28","male","Tunis","SaudiArabia","MiddleSchool","G-07","A","Quran","Semester-2","Father","Yes","Bad","Under-7","MiddleLevel",70,75,55,11
"29","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","HighLevel",80,90,55,19
"30","male","Jordan","Jordan","PrimarySchool","G-02","A","French","Semester-2","Father","No","Bad","Above-7","LowLevel",30,10,20,5
"31","male","Iraq","Iraq","MiddleSchool","G-08","A","Geology","Semester-2","Father","Yes","Good","Above-7","MiddleLevel",71,81,83,72
"32","female","Jordan","Kuwait","MiddleSchool","G-08","C","Spanish","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",87,88,40,10
"33","female","Kuwait","Kuwait","PrimarySchool","G-07","A","IT","Semester-1","Father","Yes","Good","Above-7","LowLevel",2,19,10,50
"34","female","Kuwait","Kuwait","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Under-7","MiddleLevel",69,76,82,94
"35","male","Egypt","Kuwait","MiddleSchool","G-07","B","Science","Semester-2","Father","No","Bad","Above-7","MiddleLevel",12,20,38,46
"36","female","Kuwait","Kuwait","PrimarySchool","G-02","C","IT","Semester-1","Father","No","Bad","Under-7","MiddleLevel",10,3,0,30
"37","male","Iraq","Iraq","MiddleSchool","G-07","B","Biology","Semester-1","Father","Yes","Good","Under-7","HighLevel",98,90,86,71
"38","male","Jordan","SaudiArabia","MiddleSchool","G-08","A","Geology","Semester-1","Father","No","Bad","Under-7","MiddleLevel",95,87,62,81
"39","male","Jordan","Jordan","PrimarySchool","G-02","B","French","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",25,87,21,27
"40","male","Lebanon","Lebanon","MiddleSchool","G-08","C","Spanish","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",77,69,41,13
"41","female","SaudiArabia","SaudiArabia","PrimarySchool","G-02","B","French","Semester-2","Father","Yes","Bad","Under-7","HighLevel",60,70,63,93
"42","male","Kuwait","Kuwait","MiddleSchool","G-07","B","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",36,30,20,80
"43","male","Kuwait","Kuwait","MiddleSchool","G-06","A","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",0,0,0,4
"44","female","Egypt","Egypt","MiddleSchool","G-07","A","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",45,54,26,90
"45","male","Tunis","Tunis","MiddleSchool","G-08","C","Spanish","Semester-2","Father","No","Bad","Above-7","LowLevel",7,61,22,14
"46","male","Kuwait","Kuwait","MiddleSchool","G-07","B","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",12,8,18,26
"47","male","Jordan","SaudiArabia","MiddleSchool","G-08","A","Chemistry","Semester-1","Father","No","Bad","Above-7","LowLevel",10,0,2,41
"48","male","Kuwait","Kuwait","MiddleSchool","G-08","A","Spanish","Semester-2","Father","No","Bad","Above-7","LowLevel",5,17,21,10
"49","male","Jordan","Jordan","PrimarySchool","G-04","B","Science","Semester-2","Father","No","Good","Above-7","MiddleLevel",42,34,29,39
"50","male","Kuwait","Kuwait","MiddleSchool","G-07","B","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",36,30,20,80
"51","female","Kuwait","Kuwait","PrimarySchool","G-04","A","IT","Semester-1","Father","Yes","Bad","Above-7","MiddleLevel",42,30,13,70
"52","female","USA","USA","MiddleSchool","G-07","A","Math","Semester-1","Father","No","Good","Under-7","MiddleLevel",27,22,22,40
"53","male","Jordan","Jordan","PrimarySchool","G-02","B","Arabic","Semester-1","Father","No","Bad","Above-7","LowLevel",10,10,40,51
"54","female","Jordan","Jordan","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",42,24,12,24
"55","male","Kuwait","Kuwait","MiddleSchool","G-07","A","English","Semester-1","Father","No","Bad","Above-7","LowLevel",10,12,17,30
"56","male","Iraq","Iraq","MiddleSchool","G-08","A","History","Semester-2","Father","Yes","Good","Above-7","MiddleLevel",69,77,83,92
"57","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Good","Above-7","MiddleLevel",7,4,10,50
"58","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",11,2,0,50
"59","female","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","Semester-2","Father","No","Bad","Above-7","LowLevel",9,6,15,85
"60","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",2,5,3,50
"61","male","Tunis","Tunis","HighSchool","G-11","B","Science","Semester-2","Father","No","Good","Under-7","MiddleLevel",70,50,33,40
"62","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",67,31,42,14
"63","male","Iraq","Iraq","PrimarySchool","G-04","A","Science","Semester-1","Father","Yes","Good","Above-7","MiddleLevel",90,86,82,74
"64","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-1","Father","Yes","Good","Above-7","MiddleLevel",25,82,52,20
"65","female","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","Semester-1","Father","No","Bad","Above-7","LowLevel",15,9,14,80
"66","female","Kuwait","Kuwait","MiddleSchool","G-08","A","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",80,71,52,51
"67","female","Jordan","Jordan","PrimarySchool","G-04","B","Science","Semester-2","Father","Yes","Bad","Under-7","MiddleLevel",32,44,29,89
"68","male","Jordan","SaudiArabia","MiddleSchool","G-08","A","Geology","Semester-2","Father","No","Bad","Under-7","MiddleLevel",87,79,73,98
"69","male","Jordan","Jordan","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",22,34,15,9
"70","male","Lebanon","Lebanon","MiddleSchool","G-08","C","Spanish","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",77,69,41,13
"71","male","Jordan","Jordan","PrimarySchool","G-02","B","French","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",25,87,21,27
"72","male","Jordan","Jordan","PrimarySchool","G-02","B","French","Semester-2","Father","No","Bad","Above-7","LowLevel",50,62,13,33
"73","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Under-7","LowLevel",19,70,3,50
"74","female","Kuwait","Kuwait","MiddleSchool","G-08","A","Arabic","Semester-2","Father","No","Bad","Under-7","MiddleLevel",85,66,12,23
"75","male","Iraq","Iraq","PrimarySchool","G-04","A","Science","Semester-1","Father","Yes","Good","Above-7","MiddleLevel",90,86,82,74
"76","male","Tunis","Tunis","MiddleSchool","G-07","A","Quran","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",10,75,55,11
"77","female","Kuwait","Kuwait","MiddleSchool","G-08","A","Arabic","Semester-2","Father","No","Bad","Under-7","MiddleLevel",85,66,12,23
"78","male","Palestine","Palestine","MiddleSchool","G-08","A","Geology","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",80,87,74,68
"79","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",2,5,3,50
"80","male","Kuwait","Kuwait","MiddleSchool","G-07","A","Quran","Semester-2","Father","No","Bad","Above-7","LowLevel",10,10,15,19
"81","male","Palestine","Jordan","MiddleSchool","G-07","B","Biology","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",78,80,66,51
"82","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Above-7","LowLevel",0,0,5,80
"83","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Bad","Under-7","MiddleLevel",50,90,40,90
"84","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","LowLevel",70,90,2,2
"85","male","Kuwait","Kuwait","HighSchool","G-12","A","English","Semester-1","Father","No","Good","Above-7","LowLevel",39,15,16,50
"86","female","Kuwait","Kuwait","PrimarySchool","G-07","A","IT","Semester-1","Father","Yes","Good","Above-7","LowLevel",2,19,10,50
"87","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",67,31,42,14
"88","male","Jordan","Jordan","MiddleSchool","G-06","A","English","Semester-2","Father","No","Bad","Under-7","HighLevel",22,20,6,26
"89","male","Kuwait","Kuwait","PrimarySchool","G-02","C","IT","Semester-1","Father","No","Bad","Under-7","MiddleLevel",60,60,3,60
"90","female","Jordan","Jordan","MiddleSchool","G-08","A","History","Semester-2","Father","No","Bad","Above-7","LowLevel",35,14,23,62
"91","female","Lebanon","Lebanon","MiddleSchool","G-07","A","Quran","Semester-2","Father","No","Bad","Under-7","MiddleLevel",10,79,30,30
"92","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Good","Above-7","LowLevel",80,44,35,10
"93","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Bad","Under-7","HighLevel",70,90,41,33
"94","female","Kuwait","Kuwait","MiddleSchool","G-07","A","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",60,60,33,90
"95","female","Jordan","Jordan","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",42,24,12,24
"96","female","Kuwait","Kuwait","MiddleSchool","G-08","A","Arabic","Semester-1","Father","Yes","Good","Under-7","HighLevel",35,80,50,70
"97","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-1","Father","No","Bad","Under-7","MiddleLevel",50,77,14,28
"98","female","Lebanon","Lebanon","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",70,98,7,5
"99","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Bad","Under-7","HighLevel",70,90,41,33
"100","female","Jordan","Jordan","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",42,24,12,24
"101","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Under-7","LowLevel",19,70,3,50
"102","male","Kuwait","Kuwait","MiddleSchool","G-08","C","Spanish","Semester-2","Father","No","Good","Above-7","LowLevel",5,21,42,14
"103","male","Tunis","Kuwait","MiddleSchool","G-07","B","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",22,51,48,10
"104","female","Kuwait","Kuwait","PrimarySchool","G-07","A","IT","Semester-1","Father","Yes","Good","Above-7","LowLevel",2,19,10,50
"105","male","Jordan","Jordan","MiddleSchool","G-07","A","Biology","Semester-1","Father","No","Good","Above-7","MiddleLevel",39,71,40,26
"106","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-2","Father","No","Bad","Under-7","MiddleLevel",55,74,25,29
"107","female","USA","USA","MiddleSchool","G-07","A","Math","Semester-1","Father","No","Good","Under-7","MiddleLevel",27,22,22,40
"108","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",25,5,12,33
"109","male","Kuwait","Kuwait","PrimarySchool","G-04","A","History","Semester-2","Father","No","Bad","Above-7","LowLevel",10,17,12,14
"110","female","Kuwait","Kuwait","HighSchool","G-12","A","English","Semester-1","Father","No","Bad","Above-7","LowLevel",20,14,12,70
"111","female","Kuwait","Kuwait","HighSchool","G-12","A","English","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",29,39,50,77
"112","female","Kuwait","Kuwait","MiddleSchool","G-08","A","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",80,71,52,51
"113","male","Kuwait","Kuwait","PrimarySchool","G-04","A","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",30,25,5,35
"114","female","Lebanon","Lebanon","MiddleSchool","G-07","A","Quran","Semester-2","Father","No","Bad","Under-7","MiddleLevel",10,79,30,30
"115","male","Jordan","SaudiArabia","MiddleSchool","G-08","A","Chemistry","Semester-2","Father","No","Bad","Above-7","LowLevel",11,2,9,49
"116","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-2","Father","No","Bad","Under-7","MiddleLevel",55,74,25,29
"117","male","Jordan","SaudiArabia","MiddleSchool","G-08","A","Geology","Semester-1","Father","No","Bad","Under-7","MiddleLevel",95,87,62,81
"118","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-2","Father","Yes","Good","Above-7","MiddleLevel",29,78,40,12
"119","female","Kuwait","Kuwait","MiddleSchool","G-07","A","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",60,60,33,90
"120","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",67,31,42,14
"121","male","Tunis","Kuwait","MiddleSchool","G-07","B","Science","Semester-2","Father","No","Bad","Above-7","LowLevel",22,51,48,10
"122","female","Jordan","Kuwait","MiddleSchool","G-08","C","Spanish","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",87,88,40,10
"123","male","Jordan","Jordan","MiddleSchool","G-07","A","Biology","Semester-1","Father","No","Good","Above-7","MiddleLevel",39,71,40,26
"124","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Bad","Under-7","HighLevel",70,90,41,33
"125","male","Kuwait","Kuwait","MiddleSchool","G-07","A","IT","Semester-1","Father","No","Bad","Under-7","MiddleLevel",15,21,2,90
"126","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Bad","Under-7","MiddleLevel",50,90,40,90
"127","female","Iraq","Iraq","PrimarySchool","G-02","B","French","Semester-2","Father","No","Good","Under-7","MiddleLevel",17,80,13,10
"128","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-2","Father","No","Bad","Under-7","MiddleLevel",55,74,25,29
"129","female","Iraq","Iraq","PrimarySchool","G-02","B","French","Semester-2","Father","No","Good","Under-7","MiddleLevel",17,80,13,10
"130","female","Jordan","Jordan","PrimarySchool","G-02","B","Arabic","Semester-2","Father","No","Bad","Above-7","LowLevel",10,12,29,93
"131","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Under-7","LowLevel",3,12,4,33
"132","female","Kuwait","Kuwait","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Under-7","MiddleLevel",69,76,82,94
"133","male","Palestine","Jordan","MiddleSchool","G-07","B","Biology","Semester-1","Father","Yes","Good","Under-7","HighLevel",88,90,76,81
"134","male","Morocco","Morocco","MiddleSchool","G-08","B","Arabic","Semester-2","Father","No","Bad","Above-7","LowLevel",27,15,42,53
"135","male","Jordan","Jordan","PrimarySchool","G-02","A","French","Semester-2","Father","No","Bad","Above-7","LowLevel",30,10,20,5
"136","female","Kuwait","Kuwait","HighSchool","G-12","A","English","Semester-1","Father","No","Bad","Under-7","MiddleLevel",55,90,16,40
"137","female","Kuwait","Kuwait","MiddleSchool","G-06","A","Quran","Semester-2","Father","No","Bad","Above-7","LowLevel",70,40,2,16
"138","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Above-7","LowLevel",0,0,5,80
"139","female","Iran","Iran","PrimarySchool","G-02","C","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",2,9,7,55
"140","male","Iraq","Iraq","MiddleSchool","G-08","A","History","Semester-2","Father","Yes","Good","Above-7","MiddleLevel",69,77,83,92
"141","male","Palestine","Jordan","MiddleSchool","G-08","A","History","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",78,82,78,53
"142","female","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","Semester-2","Father","No","Bad","Above-7","LowLevel",9,6,15,85
"143","male","Kuwait","Kuwait","MiddleSchool","G-08","C","Spanish","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",17,21,42,14
"144","female","Egypt","Egypt","MiddleSchool","G-07","A","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",45,54,26,90
"145","male","Jordan","Jordan","MiddleSchool","G-07","A","Biology","Semester-1","Father","No","Good","Above-7","MiddleLevel",39,71,40,26
"146","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",25,5,12,33
"147","male","Kuwait","Kuwait","PrimarySchool","G-04","A","History","Semester-2","Father","Yes","Good","Under-7","HighLevel",10,17,12,40
"148","female","Lebanon","Lebanon","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",70,98,7,5
"149","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Good","Above-7","LowLevel",80,44,35,10
"150","male","Egypt","Kuwait","MiddleSchool","G-07","B","Science","Semester-2","Father","No","Bad","Above-7","MiddleLevel",12,20,38,46
"151","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",25,5,12,33
"152","female","Kuwait","Kuwait","PrimarySchool","G-04","A","Science","Semester-2","Father","No","Bad","Under-7","MiddleLevel",69,76,82,94
"153","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",1,0,1,12
"154","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Spanish","Semester-2","Father","No","Bad","Under-7","LowLevel",2,11,62,30
