seat_allotment,phase,ac_no,ac,district,candidate,party,votes
INC,2,1,Behat,Saharanpur,NARESH SAINI,INC,97035
INC,2,1,Behat,Saharanpur,MAHAVEER SINGH RANA,BJP+,71449
INC,2,1,Behat,Saharanpur,MOHD. IQBAL,BSP,71019
INC,2,1,Behat,Saharanpur,RANA ADITYA PRATAP SINGH,Independent,4187
INC,2,1,Behat,Saharanpur,None of the Above,None of the Above,1576
INC,2,1,Behat,Saharanpur,KAMRAN ALI,others,1255
INC,2,1,Behat,Saharanpur,ARUN,RLD,1150
INC,2,1,Behat,Saharanpur,HARDHYAN,Independent,1113
INC,2,1,Behat,Saharanpur,GOPAL SINGH,Independent,945
INC,2,1,Behat,Saharanpur,KRISHNA KUMAR,Independent,810
INC,2,1,Behat,Saharanpur,KALYAN SINGH,Independent,659
INC,2,1,Behat,Saharanpur,LOKESH VERMA,others,617
INC,2,1,Behat,Saharanpur,SAKEEM KHAN,others,425
INC,2,1,Behat,Saharanpur,KARM SINGH,Independent,319
INC,2,2,Nakur,Saharanpur,DR.DHARAM SINGH SAINI,BJP+,94375
INC,2,2,Nakur,Saharanpur,IMRAN MASOOD,INC,90318
INC,2,2,Nakur,Saharanpur,NAVEEN CHOUDHARY,BSP,65328
INC,2,2,Nakur,Saharanpur,None of the Above,None of the Above,1232
INC,2,2,Nakur,Saharanpur,KAMAL GARG,Independent,944
INC,2,2,Nakur,Saharanpur,VIJAYPAL SINGH,Independent,814
INC,2,2,Nakur,Saharanpur,RAJPAL SINGH,Independent,813
INC,2,2,Nakur,Saharanpur,RAMKUMAR,RLD,783
INC,2,2,Nakur,Saharanpur,PARVESH KUMAR,others,295
INC,2,2,Nakur,Saharanpur,RAJIV SAINI,others,245
INC,2,2,Nakur,Saharanpur,INDU,Independent,245
INC,2,2,Nakur,Saharanpur,ARVIND,Independent,140
SP,2,3,Saharanpur Nagar,Saharanpur,SANJAY GARG,SP,127210
SP,2,3,Saharanpur Nagar,Saharanpur,RAJIV GUMBER,BJP+,122574
SP,2,3,Saharanpur Nagar,Saharanpur,MUKESH DIXIT,BSP,17350
SP,2,3,Saharanpur Nagar,Saharanpur,BHOORA MALIK,RLD,934
SP,2,3,Saharanpur Nagar,Saharanpur,TALAT KHAN,others,693
SP,2,3,Saharanpur Nagar,Saharanpur,None of the Above,None of the Above,675
SP,2,3,Saharanpur Nagar,Saharanpur,SHABNAM,Independent,594
SP,2,3,Saharanpur Nagar,Saharanpur,ZAINUL AABIDEEN SIDDIQUI,others,494
SP,2,3,Saharanpur Nagar,Saharanpur,ROSHAN SINGH,Independent,409
SP,2,3,Saharanpur Nagar,Saharanpur,BHARAT RAJ,others,386
SP,2,3,Saharanpur Nagar,Saharanpur,SHIV KUMAR GUPTA,Independent,286
SP,2,3,Saharanpur Nagar,Saharanpur,SHIV KUMAR,others,265
SP,2,3,Saharanpur Nagar,Saharanpur,VINAY DHIMAN,others,255
SP,2,3,Saharanpur Nagar,Saharanpur,RAVINDER ARORA,others,223
SP,2,3,Saharanpur Nagar,Saharanpur,MOHD.MURSLEEN,Independent,161
INC,2,4,Saharanpur,Saharanpur,MASOOD AKHTAR,INC,87689
INC,2,4,Saharanpur,Saharanpur,JAGPAL SINGH,BSP,75365
INC,2,4,Saharanpur,Saharanpur,MANOJ CHAUDHARY,BJP+,58752
INC,2,4,Saharanpur,Saharanpur,SAAD ALI KHAN,Independent,10950
INC,2,4,Saharanpur,Saharanpur,None of the Above,None of the Above,968
INC,2,4,Saharanpur,Saharanpur,AYYUB HASAN,RLD,822
INC,2,4,Saharanpur,Saharanpur,AMJAD ALI,others,774
INC,2,4,Saharanpur,Saharanpur,SHABNOOR BEGUM,Independent,596
INC,2,4,Saharanpur,Saharanpur,VIKRAM SAINI,Independent,399
INC,2,4,Saharanpur,Saharanpur,PARVESH KUMAR,Independent,376
INC,2,4,Saharanpur,Saharanpur,SULEMAN,others,256
INC,2,4,Saharanpur,Saharanpur,SACHIN KUMAR,others,220
INC,2,4,Saharanpur,Saharanpur,BABLU,others,155
INC,2,4,Saharanpur,Saharanpur,NAUSHAD,others,146
SP,2,5,Deoband,Saharanpur,BRIJESH,BJP+,102244
SP,2,5,Deoband,Saharanpur,MAJID ALI,BSP,72844
SP,2,5,Deoband,Saharanpur,MAVIA ALI,SP,55385
SP,2,5,Deoband,Saharanpur,BHUPESHWAR TYAGI,RLD,1132
SP,2,5,Deoband,Saharanpur,None of the Above,None of the Above,798
SP,2,5,Deoband,Saharanpur,DHARMAVIR,others,651
SP,2,5,Deoband,Saharanpur,RAKESH VERMA,others,598
SP,2,5,Deoband,Saharanpur,UMAR NAWAZ,Independent,415
SP,2,5,Deoband,Saharanpur,ZAHIR FATMA,Independent,239
INC,2,6,Rampur maniharan (SC),Saharanpur,DEVENDER KUMAR NIM,BJP+,76465
INC,2,6,Rampur maniharan (SC),Saharanpur,RAVINDRA KUMAR MOLHU,BSP,75870
INC,2,6,Rampur maniharan (SC),Saharanpur,VISHVA DAYAL CHHOTAN,INC,61787
INC,2,6,Rampur maniharan (SC),Saharanpur,None of the Above,None of the Above,856
INC,2,6,Rampur maniharan (SC),Saharanpur,DAYAWATI CHAUDHRY,RLD,696
INC,2,6,Rampur maniharan (SC),Saharanpur,BIJENDRA,Independent,689
INC,2,6,Rampur maniharan (SC),Saharanpur,REKHA,Independent,579
INC,2,6,Rampur maniharan (SC),Saharanpur,ARVIND JHANJHOT,others,523
INC,2,6,Rampur maniharan (SC),Saharanpur,SURESH KUMAR,others,475
INC,2,6,Rampur maniharan (SC),Saharanpur,ANJU BALA,others,391
INC,2,6,Rampur maniharan (SC),Saharanpur,BABY,others,256
INC,2,6,Rampur maniharan (SC),Saharanpur,KM.LATA,others,244
FF,2,7,Gangoh,Saharanpur,PRADEEP KUMAR,BJP+,99446
FF,2,7,Gangoh,Saharanpur,NAUMAN MASOOD,INC,61418
FF,2,7,Gangoh,Saharanpur,INDER SAIN,SP,47219
FF,2,7,Gangoh,Saharanpur,MAHIPAL SINGH MAJRA,BSP,44717
FF,2,7,Gangoh,Saharanpur,RAJNESH CHAUHAN,RLD,1054
FF,2,7,Gangoh,Saharanpur,None of the Above,None of the Above,971
FF,2,7,Gangoh,Saharanpur,YATENDERA,Independent,609
FF,2,7,Gangoh,Saharanpur,SATNAM SINGH,others,579
FF,2,7,Gangoh,Saharanpur,KAWAR PAL,Independent,526
FF,2,7,Gangoh,Saharanpur,VIKAS KUMAR,Independent,475
FF,2,7,Gangoh,Saharanpur,SONU VERMA,others,364
SP,1,8,Kairana,Shamli,NAHID HASAN,SP,98830
SP,1,8,Kairana,Shamli,MRIGANKA SINGH,BJP+,77668
SP,1,8,Kairana,Shamli,ANIL KUMAR,RLD,19992
SP,1,8,Kairana,Shamli,DIWAKAR DESHWAL,BSP,6888
SP,1,8,Kairana,Shamli,MASEEHULLA,others,1365
SP,1,8,Kairana,Shamli,SARFARAJ KHAN,others,1127
SP,1,8,Kairana,Shamli,None of the Above,None of the Above,1060
SP,1,8,Kairana,Shamli,SETHPAL,Independent,623
SP,1,8,Kairana,Shamli,DHARMVEER,Independent,545
SP,1,8,Kairana,Shamli,VINOD KUMAR,Independent,496
SP,1,8,Kairana,Shamli,SAHENDRA PAL,others,290
SP,1,8,Kairana,Shamli,SANDEEP,others,250
SP,1,9,Thana bhawan,Shamli,SURESH KUMAR,BJP+,90995
SP,1,9,Thana bhawan,Shamli,ABDUL WARIS KHAN,BSP,74178
SP,1,9,Thana bhawan,Shamli,JAVED RAO,RLD,31275
SP,1,9,Thana bhawan,Shamli,SUDHIR KUMAR,SP,13480
SP,1,9,Thana bhawan,Shamli,None of the Above,None of the Above,883
SP,1,9,Thana bhawan,Shamli,MOHD NASIR,others,561
SP,1,9,Thana bhawan,Shamli,RAHAT ALI,Independent,378
SP,1,9,Thana bhawan,Shamli,SUNIL,Independent,318
SP,1,9,Thana bhawan,Shamli,SAHDEV,Independent,225
SP,1,9,Thana bhawan,Shamli,MANJU,Independent,210
SP,1,9,Thana bhawan,Shamli,PARVEZ ALI,Independent,188
INC,1,10,Shamli,Shamli,TEJENDRA NIRWAL,BJP+,70085
INC,1,10,Shamli,Shamli,PANKAJ KUMAR MALIK,INC,40365
INC,1,10,Shamli,Shamli,BIJENDRA SINGH,RLD,33551
INC,1,10,Shamli,Shamli,MANISH KUMAR,Independent,31824
